Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
10.42.0.151-74.125.200.120-38376-443-6,10.42.0.151,38376,74.125.200.120,443,6,22/08/2017 10:28:47,242961,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.231773823782417,242961.0,0.0,242961.0,242961.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,4.1158869118912085,4.1158869118912085,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1546,175,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_WANNALOCKER
157.240.2.36-10.42.0.151-443-59207-6,157.240.2.36,443,10.42.0.151,59207,6,22/08/2017 10:28:53,187,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,224598.93048128343,10695.187165775402,187.0,0.0,187.0,187.0,187.0,187.0,0.0,187.0,187.0,0,0,0,0,0,1,0,0,0,64,0,10695.187165775402,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,131,-1,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_WANNALOCKER
157.240.2.36-10.42.0.151-443-59207-6,10.42.0.151,59207,157.240.2.36,443,6,22/08/2017 10:28:53,123,3,0,42.0,0.0,42.0,0.0,14.0,24.24871130596428,0,0,0,0,341463.4146341463,24390.243902439022,61.5,70.0035713374682,111.0,12.0,123.0,61.5,70.0035713374682,111.0,12.0,0,0,0,0,0,0,0,0,0,96,0,24390.243902439022,0.0,0.0,42.0,10.5,21.0,441.0,0,0,0,0,1,0,0,0,0.0,14.0,14.0,0.0,96,0,0,0,0,0,0,3,42,0,0,1436,-1,1,32,0,0,0,0,0,0,0,0,RANSOMWARE_WANNALOCKER
172.217.10.74-10.42.0.151-443-38584-6,10.42.0.151,38584,172.217.10.74,443,6,22/08/2017 10:28:59,36692,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.50779461462989,36692.0,0.0,36692.0,36692.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.253897307314944,27.253897307314944,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1546,170,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_WANNALOCKER
10.42.0.151-31.13.71.3-32953-443-6,10.42.0.151,32953,31.13.71.3,443,6,22/08/2017 10:29:05,266762,6,7,1081.0,201.0,537.0,0.0,180.16666666666666,260.4837167015756,137.0,0.0,28.714285714285715,50.07898523237828,4805.781932958967,48.73257810332806,22230.166666666664,33910.04497150803,108751.0,14.0,128111.0,25622.199999999997,40447.28161693935,93868.0,15.0,236970.0,39495.0,49869.0365697995,108751.0,14.0,0,0,0,0,200,232,22.49195912461295,26.24061897871511,0.0,537.0,91.57142857142857,183.43798544874642,33649.494505494506,0,0,0,1,0,0,0,0,1.0,98.61538461538461,180.16666666666666,28.714285714285715,200,0,0,0,0,0,0,6,1081,7,201,65535,122,3,32,0,0,0,0,0,0,0,0,RANSOMWARE_WANNALOCKER
10.42.0.151-31.13.71.3-32953-443-6,10.42.0.151,32953,31.13.71.3,443,6,22/08/2017 10:29:05,13969,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,2219.1996563819885,214.7612570692247,6984.5,9706.454785347738,13848.0,121.0,121.0,121.0,0.0,121.0,121.0,0,0,0,0,0,1,0,0,0,64,32,143.17417137948314,71.58708568974157,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,64,0,0,0,0,0,0,2,31,1,0,1369,122,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_WANNALOCKER
172.217.10.74-10.42.0.151-443-52771-6,10.42.0.151,52771,172.217.10.74,443,6,22/08/2017 10:29:06,36304,1,2,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,853.9003966505068,82.63552225650065,18152.0,25387.961871721804,36104.0,200.0,0,0,0,0,0,200.0,200.0,0.0,200.0,200.0,1,0,0,0,32,64,27.545174085500218,55.090348171000436,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,2.0,20.666666666666668,31.0,0.0,32,0,0,0,0,0,0,1,31,2,0,3541,234,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_WANNALOCKER
172.217.10.74-10.42.0.151-443-33211-6,10.42.0.151,33211,172.217.10.74,443,6,22/08/2017 10:29:16,37497,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.33760034136064,37497.0,0.0,37497.0,37497.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.66880017068032,26.66880017068032,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1901,189,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_WANNALOCKER
10.42.0.151-23.50.64.87-54934-443-6,10.42.0.151,54934,23.50.64.87,443,6,22/08/2017 10:29:18,23924,1,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,1295.7699381374352,125.39709078749372,11962.0,16861.66830417441,23885.0,39.0,0,0,0,0,0,39.0,39.0,0.0,39.0,39.0,0,0,0,0,32,64,41.79903026249791,83.59806052499582,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,1,0,0,2.0,10.333333333333334,0.0,15.5,32,0,0,0,0,0,0,1,0,2,31,2093,972,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_WANNALOCKER
157.55.130.167-10.42.0.151-40019-60574-6,10.42.0.151,60574,157.55.130.167,40019,6,22/08/2017 10:29:18,46206,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.28442193654504,46206.0,0.0,46206.0,46206.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,21.64221096827252,21.64221096827252,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1414,35,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_WANNALOCKER
